ID,Feature,Type,English Text,Indonesian Text,File Path,Notes / Context,Status,Revised English,Revised Indonesian,PIC
  Onboarding,,,,,,,,,,Backend
1,Onboarding,Heading,Find the right people to build with,Temukan orang yang tepat untuk membangun bersama,src/features/onboarding/mock/common-steps.ts,step_welcome title,INDO,v,Temukan orang yang tepat untuk membangun startupmu bersama ,Backend
2,Onboarding,Subtitle,"ConnectX connects you with co-founders, teammates, and startups based on skills, goals, and compatibility.","ConnectX koneksikan kamu dengan co-founder, rekan tim, dan startup berdasarkan skill, tujuan, dan kecocokan.",src/features/onboarding/mock/common-steps.ts,step_welcome subtitle,INDO,v,v,Backend
3,Onboarding,Button,Get Started,Mulai,src/features/onboarding/mock/common-steps.ts,step_welcome CTA,INDO,v,v,Backend
4,Onboarding,Section,Let's get started,Mari mulai,src/features/onboarding/mock/common-steps.ts,step_welcome section,INDO,v,Yuk mulai,Backend
5,Onboarding,Heading,Tell us about yourself,Ceritakan tentang dirimu,src/features/onboarding/mock/common-steps.ts,step_data_diri title,INDO,v,v,Backend
6,Onboarding,Subtitle,The basics we need to personalize your connections,Data dasar yang kami butuhkan untuk mempersonalisasi koneksi kamu.,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
7,Onboarding,Section,Let's build your general profile,Mari bangun profil umum kamu,src/features/onboarding/mock/common-steps.ts,,INDO,v,Bangun profilmu dulu yah,Backend
8,Onboarding,Label,First name,Nama depan,src/features/onboarding/mock/common-steps.ts,q_first_name label,INDO,v,v,Backend
9,Onboarding,Placeholder,Your first name,Nama depan kamu,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
10,Onboarding,Label,Last name,Nama belakang,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
11,Onboarding,Placeholder,Your last name,Nama belakang kamu,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
12,Onboarding,Label,Date of birth,Tanggal lahir,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
13,Onboarding,Placeholder,YYYY-MM-DD,YYYY-MM-DD,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,Tahun-Bulan-tanggal,Backend
14,Onboarding,Label,Where are you based?,Kamu berbasis di mana?,src/features/onboarding/mock/common-steps.ts,,INDO,v,Kamu sedang tinggal dimana?,Backend
15,Onboarding,Placeholder,Search a city,Cari kota,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
16,Onboarding,Label,Gender,Gender,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,Kelamin,Backend
17,Onboarding,Heading,How do you want to use ConnectX?,Bagaimana kamu ingin menggunakan ConnectX?,src/features/onboarding/mock/common-steps.ts,step_use_connectx title,INDO,v,Kamu mau pakai ConnectX buat apa?,Backend
18,Onboarding,Subtitle,This shapes your entire experience,Ini akan membentuk seluruh pengalamanmu,src/features/onboarding/mock/common-steps.ts,,INDO,v,Ini bakal nentuin pengalaman kamu di sini.,Backend
19,Onboarding,Option,I'm a Builder,Saya seorang Builder,src/features/onboarding/mock/common-steps.ts,useConnectxOptions - Builder,INDO,v,Aku seorang builder,Backend
20,Onboarding,Sub-option,"Founder, co-founder, or team member","Founder, co-founder, atau anggota tim",src/features/onboarding/mock/common-steps.ts,,INDO,v,"Founder, co-founder atau sebagai tim",Backend
21,Onboarding,Option,I represent a Startup,Saya mewakili Startup,src/features/onboarding/mock/common-steps.ts,useConnectxOptions - Startup,INDO,v, mewakili sebuah startup,Backend
22,Onboarding,Sub-option,Building a team or hiring co-founders,Sedang membangun tim atau mencari co-founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,sedang bangun tim atau cari co-founder,Backend
23,Onboarding,Heading,What best describes you?,Apa yang paling menggambarkanmu?,src/features/onboarding/mock/common-steps.ts,builderIdentityDetailsStep title,INDO,v,Tolong diskirpsikan dirimu,Backend
24,Onboarding,Subtitle,This determines what you'll see in your feed,Ini menentukan apa yang akan muncul di feed-mu,src/features/onboarding/mock/common-steps.ts,,INDO,v,ini akan menentukan apa yang akan muncul di feed-mu,Backend
